업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),
용역,9222619-00,일반,경부선 노량진역 등 25개역 LED 조명설비 개량공사 책임감리 용역,한국철도공사,한국철도공사,일반(총액),2020/05/15 15:28(2020/05/25 10:00),
용역,20200518839-00,일반,2020년 업무용 차량 손해보험 가입 용역,한국농어촌공사 경기지역본부 강화옹진지사,한국농어촌공사 경기지역본부 강화옹진지사,제한(총액),2020/05/15 15:23(2020/05/21 10:00),
용역,20200518866-00,긴급,서대구산단 재생사업 활성화구역 진입도로 확장공사 건설폐기물 운반용역,대구광역시 건설본부,대구광역시 건설본부,제한(총액),2020/05/15 15:23(2020/05/21 10:00),
용역,20200518865-00,일반,평창상수도시설 2020년 상반기 북부권배수지 청소,한국환경공단,한국환경공단,수의(총액)소액수의,2020/05/15 15:22(2020/05/20 10:00),
용역,20200518859-00,일반,"창원시 사용종료매립시설(수곡,남지) 주변환경영향종합조사 용역",경상남도 창원시,경상남도 창원시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 15:22(2020/05/21 10:00),
용역,20200518372-00,일반,2020년 보훈병원 전산장비 통합유지관리 용역(재공고),한국보훈복지의료공단,한국보훈복지의료공단,일반(총액)협상에의한계약,2020/05/15 15:20(2020/05/26 10:00),
용역,20200518854-00,긴급,"전산기계실 인프라 재구축 사업[협상에 의한 계약,긴급]",경상남도 양산시,경상남도 양산시,제한(총액)협상에의한계약,2020/05/15 15:20(2020/05/29 17:00),
용역,20200518860-00,일반,해양재난 피해지원 개선 연구,가습기살균제사건과4.16세월호참사특별조사위원회,가습기살균제사건과4.16세월호참사특별조사위원회,제한(총액)협상에의한계약,2020/05/15 15:19(2020/05/28 14:00),
용역,20200518818-01,변경,온라인 전표결재 및 회계증빙 전자보관 시스템 개발 용역(재공고),대한적십자사,대한적십자사,제한(총액)협상에의한계약,2020/05/15 15:19(2020/05/26 14:00),
용역,20200514524-00,긴급,수질예측 고도화를 위한 분포형 모델 개발(Ⅰ) - 상세 수리·수문 모델링 -,조달청 인천지방조달청,환경부 국립환경과학원,일반(총액)협상에의한계약,2020/05/15 15:18(2020/05/26 10:00),
용역,20200518095-00,일반,대구달성경찰서 청사 신축공사 설계용역,조달청,경찰청 대구광역시지방경찰청,수의(설계공모),2020/05/15 15:16(-),
용역,20200518822-00,긴급,서대구산단 재생사업 활성화구역 진입도로 확장공사 건설폐기물 처리용역,대구광역시 건설본부,대구광역시 건설본부,제한(총액),2020/05/15 15:15(2020/05/21 10:00),
용역,9222618-00,일반,구로차량기지 등 4개소 LED 조명설비 개량공사 책임감리 용역,한국철도공사,한국철도공사,일반(총액),2020/05/15 15:14(2020/05/25 10:00),
용역,20200518347-00,일반,가습기살균제 피해자 추모 지원제도 마련 연구,가습기살균제사건과4.16세월호참사특별조사위원회,가습기살균제사건과4.16세월호참사특별조사위원회,일반(총액)협상에의한계약,2020/05/15 15:13(2020/05/28 10:00),
용역,20200516873-00,일반,2020년 국제 지식재산 나눔사업 부탄 적정기술(스마트 허브건조기술) 개발보급 용역 사업,조달청 서울지방조달청,한국발명진흥회,제한(총액)협상에의한계약,2020/05/15 15:13(2020/05/26 10:00),
용역,20200518797-00,일반,2020학년도 예산 덕산중학교 회복적 생활교육 집단상담 프로그램 용역,충청남도예산교육청 덕산중학교,충청남도예산교육청 덕산중학교,일반(총액)규격가격동시,2020/05/15 15:11(2020/05/25 11:00),
용역,20200518825-00,긴급,철원RPC 앞 회전교차로 설치사업 폐기물처리용역,강원도 철원군,강원도 철원군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 15:11(2020/05/20 12:00),
용역,20200518757-00,일반,2020년 IBK기업부동산자문서비스 운영 사업자 선정,중소기업은행,중소기업은행,제한(총액)협상에의한계약,2020/05/15 15:09(-),
용역,20200518370-00,일반,교통노면표시 재귀반사성능DB 관리시스템 구축을 위한 ISP 수립,조달청 강원지방조달청,도로교통공단,제한(총액)협상에의한계약,2020/05/15 15:08(2020/05/26 10:00),
용역,20200518816-00,일반,의료폐기물 위탁처리 용역 업체선정을 위한 입찰공고,조선대학교병원,조선대학교병원,제한(총액),2020/05/15 15:06(-),
용역,20200518312-00,일반,소속기관 업무망과 인터넷망 분리 3차 구축 사업(네트워크),조달청,고용노동부,제한(총액)협상에의한계약,2020/05/15 15:05(2020/06/25 10:00),
용역,2001715-00,일반,행정중심복합도시 6-4UR2BL 아파트 건설공사 15공구(609호) 시공단계 감독권한대행 등 건설사업관리용역,한국토지주택공사,한국토지주택공사,일반경쟁,2020/05/15 15:05(2020/06/23 18:00),
용역,2001720-00,일반,양산사송 A-1BL 아파트 정보통신 및 소방공사 책임감리용역,한국토지주택공사,한국토지주택공사,일반경쟁,2020/05/15 15:05(2020/06/11 16:00),
용역,2001714-00,일반,부산장안A-1BL 아파트 건설공사 1공구(428호) 시공단계 감독권한대행 등 건설사업관리용역,한국토지주택공사,한국토지주택공사,일반경쟁,2020/05/15 15:05(2020/06/23 18:00),
용역,20200518771-00,일반,서대구산단 재생사업 활성화구역 진입도로 확장공사 가연성폐기물 운반 및 처리용역,대구광역시 건설본부,대구광역시 건설본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 15:02(2020/05/21 10:00),
용역,20200518043-00,긴급,119신고 모바일 웹페이지 구축사업,조달청 인천지방조달청,경기도 소방재난본부,제한(총액)협상에의한계약,2020/05/15 15:01(2020/06/05 10:00),
용역,20200518801-00,일반,방호비상시 방사선비상계획서 연계 평가,한국원자력통제기술원,한국원자력통제기술원,제한(총액)협상에의한계약,2020/05/15 15:00(2020/05/27 10:00),
용역,P2020-00033-00,일반,(긴급) 코트디부아르 아비장시 상수급수 연결 2차 사업기획관리(PM) 용역,한국국제협력단,한국국제협력단, ,2020/05/15 15:00(2020/06/08 15:00),
용역,20200518463-00,일반,2020년 용인시 도시계획정보체계(UPIS) 현행화 사업,조달청 인천지방조달청,경기도 용인시,수의(총액),2020/05/15 14:59(2020/05/19 16:00),
용역,20200518766-00,일반,인천서곶초등학교 옥상방수 및 장애인편의시설 설치공사 감리용역 수의계약 안내 공고,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:59(2020/05/21 10:00),
용역,E012004445-00,일반,신도안면 남선리 계룡시청 가로등(을) 지중신규 위치탐사용역(서대전지사),한국전력공사,재무자재부,제한(총액),2020/05/15 14:58(2020/05/25 10:00),
용역,20200518689-00,일반,무을초등학교 외 1교(형곡초) 진입로포장 및 기타공사 폐기물처리 용역 수의견적 제출 공고,경상북도교육청 경상북도구미교육지원청,경상북도교육청 경상북도구미교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:57(2020/05/21 10:00),
용역,20200518787-00,긴급,양평도서문화센터(소극장)건립사업 일반설계 공모 공고(재공고),경기도 양평군,경기도 양평군,일반경쟁,2020/05/15 14:56(-),
용역,20200518780-00,긴급,(용역)산악기상 관측 및 활용체계 구축을 위한 기술 수요 분석 연구,산림청 국립산림과학원,산림청 국립산림과학원,제한(총액)협상에의한계약,2020/05/15 14:55(2020/05/25 10:00),
용역,20200502328-01,변경,"지역안전지수 및 교통분야 빅데이터 통합플랫폼 구축사업 감리용역(협상,변경공고)",광주광역시,광주광역시,일반(총액)협상에의한계약,2020/05/15 14:54(2020/05/20 15:00),
용역,20200518768-00,일반,"차세대 SAR 영상 제품을 위한 데이터, 속성 구성 설계 및 품질 평가 지표 연구 개발 용역",한국항공우주연구원,한국항공우주연구원,제한(총액)규격가격동시,2020/05/15 14:53(2020/05/22 10:00),
용역,20200518718-00,일반,인천중구시설관리공단 홈페이지 리뉴얼 및 기능 도입 용역,인천광역시중구시설관리공단,인천광역시중구시설관리공단,제한(총액)협상에의한계약,2020/05/15 14:53(-),
용역,20200518755-00,긴급,(용역)가리왕산 물지도 작성을 위한 토양 조사,산림청 국립산림과학원,산림청 국립산림과학원,제한(총액)협상에의한계약,2020/05/15 14:50(2020/05/25 10:00),
용역,20200518758-00,긴급,계양1동 행정복지센터 신축 건축설계 공모[긴급],인천광역시 계양구,인천광역시 계양구,일반경쟁,2020/05/15 14:50(-),
용역,20200515504-01,취소,과천정수장 고도정수처리시설 기본 및 실시설계 용역,경기도 과천시,경기도 과천시,지명경쟁,2020/05/15 14:49(2020/05/22 10:00),
용역,20200518733-00,일반,옥동광산 수질정화시설 사업장일반폐기물(슬러지오니) 운반 및 처리용역,한국광해관리공단,한국광해관리공단,수의(총액)소액수의,2020/05/15 14:48(2020/05/21 10:00),
용역,20200518763-00,일반,신월1리 마을만들기 마을회관 신축공사 폐기물처리 용역,경상북도 예천군,경상북도 예천군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:48(2020/05/22 10:00),
용역,20200518752-00,일반,"2020년 상반기 구조,구급대원 건강검진 견적 제출공고",경상북도 포항북부소방서,경상북도 포항북부소방서,수의(총액)소액수의,2020/05/15 14:47(2020/05/22 10:00),
용역,20200518730-00,긴급,서울고척초 교사동 증축공사 설계용역(설계공모),서울특별시교육청 서울특별시남부교육지원청,서울특별시교육청 서울특별시남부교육지원청,일반경쟁,2020/05/15 14:44(-),
용역,20200518749-00,일반,영등포경찰서 석면철거 및 기타공사(폐기물처리 용역),경찰청 서울특별시지방경찰청 서울영등포경찰서,경찰청 서울특별시지방경찰청 서울영등포경찰서,제한(총액),2020/05/15 14:43(2020/05/19 15:00),
용역,20200518709-00,일반,경북 게임기업 DB 및 통계조사 연구 용역,재단법인 경북테크노파크,재단법인 경북테크노파크,제한(총액)협상에의한계약,2020/05/15 14:43(2020/05/26 14:00),
용역,20200509736-00,긴급,AI기반 시·청각장애인을 위한 스마트 미러 민원안내시스템 구축,조달청 서울지방조달청,한국지역정보개발원,제한(총액)협상에의한계약,2020/05/15 14:42(2020/06/05 10:00),
용역,20200518732-00,긴급,(용역)국립산림과학원 국민소통 강화 및 고객서비스 고도화 전략 수립,산림청 국립산림과학원,산림청 국립산림과학원,제한(총액)협상에의한계약,2020/05/15 14:40(2020/05/25 10:00),
용역,20200518493-00,일반,유원초 석면철거 감리용역 수의계약 안내공고,경상남도교육청 경상남도함안교육지원청,경상남도교육청 경상남도함안교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:39(2020/05/21 10:00),
용역,20200518715-00,긴급,2020년 전반기 국방기술품질원 품질경영부 발간물 제작,국방기술품질원,국방기술품질원,제한(총액)협상에의한계약,2020/05/15 14:38(2020/05/26 10:00),
용역,20200518584-00,일반,평택경찰서 신축사업 설계용역,조달청,경찰청 경기도남부지방경찰청,수의(설계공모),2020/05/15 14:38(-),
용역,20200518728-00,일반,안전한 회의통화 시험 플랫폼 개발(재공고),국가보안기술연구소,국가보안기술연구소,제한(총액)협상에의한계약,2020/05/15 14:36(2020/05/26 11:30),
용역,20200516095-01,변경,기업수요 맞춤형 훈련 사업계획 심사 및 성과평가 도구개발 용역,한국기술교육대학교산학협력단,한국기술교육대학교산학협력단,일반(총액)협상에의한계약,2020/05/15 14:36(2020/06/02 10:00),
용역,20200518710-00,일반,성지로16번길 일원 노후하수관로 정비공사 폐기물처리용역,경기도 부천시 성곡동,경기도 부천시 성곡동,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:35(2020/05/22 12:00),
용역,20200518720-00,일반,지도정보 활용 위성영상 학습데이터 생성 효율화 기술 개발,한국항공우주연구원,한국항공우주연구원,제한(총액)협상에의한계약,2020/05/15 14:35(2020/05/26 10:00),
용역,20200518673-00,일반,지반열진공챔버 실험실 유지보수관리 용역,한국건설기술연구원,한국건설기술연구원,제한(총액)규격가격동시,2020/05/15 14:35(2020/05/26 11:00),
용역,20200439291-00,일반,2020 국가인권위원회 웹드라마 제작 및 송출,조달청 서울지방조달청,국가인권위원회,제한(총액)협상에의한계약,2020/05/15 14:34(2020/05/26 10:00),
용역,20200518676-00,일반,복컴 및 광복 수요변화에 대응한 공간효율화 제고를 위한 설계지침 수립 연구용역,행정중심복합도시건설청,행정중심복합도시건설청,제한(총액)협상에의한계약,2020/05/15 14:32(2020/05/26 12:00),
용역,20200518687-00,긴급,미제천(월연지구)지방하천 정비사업 실시설계용역(PQ후 가격입찰),전라북도,전라북도,일반경쟁,2020/05/15 14:31(2020/05/21 12:00),
용역,20200509751-00,긴급,2020년 누리-세종학당 온라인 서비스 개편 및 통합 운영,조달청 서울지방조달청,세종학당재단,수의(총액),2020/05/15 14:30(2020/05/18 11:00),
용역,20200518090-00,일반,2020년 종합기상정보시스템(COMIS-5) 3차년도 구축(ITSM도입),조달청 서울지방조달청,기상청,제한(총액)협상에의한계약,2020/05/15 14:29(2020/06/04 10:00),
용역,20200518702-00,일반,백운산 산림박물관 건립공사 건축설계 용역 제안공모 공고,전라남도 광양시,전라남도 광양시,일반경쟁,2020/05/15 14:29(-),
용역,9222617-00,일반,2020년 서울본부 전차선로 지장수목 제거용역,한국철도공사,한국철도공사,일반(총액),2020/05/15 14:28(2020/05/25 10:00),
용역,20200518267-00,긴급,미디어 리터러시 인정도서·지도서 개발(고교용),조달청 서울지방조달청,한국언론진흥재단,제한(총액)협상에의한계약,2020/05/15 14:28(2020/05/27 10:00),
용역,20200518695-00,긴급,HPC이노베이션허브 성과조사 및 서비스 수요조사 용역,한국정보통신기술협회,한국정보통신기술협회,일반(총액)협상에의한계약,2020/05/15 14:28(2020/05/27 15:00),
용역,20200518564-01,취소,독도종합정보시스템 개편 기획(안)수립 용역,한국해양과학기술원,한국해양과학기술원,제한(총액)협상에의한계약,2020/05/15 14:28(2020/05/26 10:00),
용역,20200518684-00,일반,대전형 커뮤니티케어 관계자 역량강화 교육과정 개발,재단법인대전복지재단,재단법인대전복지재단,제한(총액)협상에의한계약,2020/05/15 14:27(2020/05/26 10:00),
용역,20200518421-01,취소,영등포경찰서 석면철거 및 기타공사(폐기물처리 용역),경찰청 서울특별시지방경찰청 서울영등포경찰서,경찰청 서울특별시지방경찰청 서울영등포경찰서,제한(총액),2020/05/15 14:26(2020/05/19 14:00),
용역,20200517752-00,긴급,2020. 원격연수 콘텐츠 공동개발 계획,조달청 부산지방조달청,부산광역시교육청 부산광역시교육연구정보원,제한(총액)협상에의한계약,2020/05/15 14:24(2020/05/26 10:00),
용역,20200518674-00,일반,진도실업고등학교 기숙사(생활관)증축 외 1건 공사 설계용역(건축),전라남도교육청 전라남도진도교육지원청,전라남도교육청 전라남도진도교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:22(2020/05/21 10:00),
용역,20200518551-01,변경,"공동사용 사무용소프트웨어(Microsoft OVS-ES, Korea Plus Statistics) 임차계약 갱신",경상대학교 교육정보전산원,경상대학교 교육정보전산원,제한(총액),2020/05/15 14:21(2020/05/26 10:00),
용역,20200518656-00,일반,지자체 청사기준면적 합리화 방안 연구(재공고),한국지방재정공제회,한국지방재정공제회,제한(총액)협상에의한계약,2020/05/15 14:19(2020/05/22 14:00),
용역,20200518667-00,긴급,"운산,도덕천 지방하천 정비사업 실시설계용역(PQ후 가격입찰)",전라북도,전라북도,일반경쟁,2020/05/15 14:18(2020/05/21 12:00),
용역,20200516093-00,일반,보안관제 종합시스템 구축,조달청 광주지방조달청,광주광역시교육청 광주광역시교육연구정보원,제한(총액)협상에의한계약,2020/05/15 14:17(2020/05/29 10:00),
용역,E082000250-00,일반,[울산화력]2020년도 발전연료유(저유황유) 검정용역 연간단가계약,한국동서발전주식회사,총무부,제한(총액),2020/05/15 14:13(2020/05/26 14:00),
용역,20200518646-00,일반,옥산교 외 1개교 정밀점검용역,경기도 연천군,경기도 연천군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:12(2020/05/21 10:00),
용역,20200518651-00,긴급,제주특별자치도 광역음식물류폐기물처리시설조성사업 건설사업관리용역 (P.Q - 가격입찰),제주특별자치도,제주특별자치도,일반경쟁,2020/05/15 14:12(2020/05/21 14:00),
용역,20200518650-00,긴급,이윤천 지방하천 정비사업 실시설계용역(PQ후 가격입찰),전라북도,전라북도,일반경쟁,2020/05/15 14:12(2020/05/21 12:00),
용역,20200512333-00,긴급,원자력안전규제 지식관리시스템 구축사업,조달청,한국원자력안전기술원,제한(총액)협상에의한계약,2020/05/15 14:11(2020/06/10 10:00),
용역,20200518644-00,일반,2020년 사이버 문화유산 교육콘텐츠 제작,문화재청 한국전통문화대학교,문화재청 한국전통문화대학교,제한(총액)협상에의한계약,2020/05/15 14:10(2020/05/27 10:00),
용역,20200518635-00,일반,2020년 익산문화관광재단 SNS 활용 마케팅 운영 용역,재단법인익산문화관광재단,재단법인익산문화관광재단,제한(총액)협상에의한계약,2020/05/15 14:09(-),
용역,20200518636-00,일반,세종시 종합체육시설 경제성 등 분석 연구용역,행정중심복합도시건설청,행정중심복합도시건설청,일반(총액)협상에의한계약,2020/05/15 14:07(2020/05/26 12:00),
용역,20200518639-00,일반,2020년 거제 말쥐치 산란서식장 조성사업 자원량 및 효과조사,한국수산자원공단 남해본부,한국수산자원공단 남해본부,수의(총액),2020/05/15 14:07(2020/05/15 15:30),
용역,20200518629-00,일반,고촌중 체육관 및 수영장 증축공사 폐기물처리용역,경기도교육청 경기도김포교육지원청,경기도교육청 경기도김포교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:07(2020/05/21 10:00),
용역,20200518614-00,일반,한국외대 서울시 캠퍼스타운 사업 온오프라인 취·창업 교육 프로그램 제안,한국외국어대학교 서울캠퍼스,한국외국어대학교 서울캠퍼스,제한(총액)협상에의한계약,2020/05/15 14:07(2020/06/26 11:00),
용역,20200518608-00,일반,전농천 악취저감 및 주민친화공간 조성사업 기본 및 실시설계 용역(PQ),서울특별시 성동구,서울특별시 성동구,일반경쟁,2020/05/15 14:06(2020/06/16 14:00),
용역,E012004436-00,일반,신도안면 남선리 계룡시청 가로등(을) 지중신규 감리용역(서대전지사),한국전력공사,재무자재부,제한(총액),2020/05/15 14:05(2020/05/25 10:00),
용역,2001758-00,일반,(긴급)스마트시티 세종 국가시범도시 착공식 행사대행 용역,한국토지주택공사,한국토지주택공사,일반경쟁,2020/05/15 14:05(2020/06/01 16:00),
용역,20200518605-00,일반,상모초등학교 진입로포장 및 기타공사 폐기물처리 용역 수의견적 제출 공고,경상북도교육청 경상북도구미교육지원청,경상북도교육청 경상북도구미교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 14:03(2020/05/21 10:00),
용역,20200518620-00,긴급,"수양,용문천 지방하천 정비사업 실시설계용역(PQ후 가격입찰)",전라북도,전라북도,일반경쟁,2020/05/15 14:03(2020/05/21 12:00),
용역,20200518433-00,긴급,"2020학년도 연간 실험폐기물(폐약, 폐시약 등) 위탁처리용역",서울과학기술대학교,서울과학기술대학교,일반(총액),2020/05/15 14:02(2020/05/21 10:00),
용역,20200518615-00,일반,2020 인서울 마켓(사회적경제 마켓)@뚝섬 운영 용역(긴급),서울특별시,서울특별시,제한(총액)협상에의한계약,2020/05/15 14:01(2020/05/26 16:00),
용역,20200517956-00,긴급,국도31호선 인제 고사 외 2개소 도로정비공사 폐기물처리용역,국토교통부 원주지방국토관리청 홍천국토관리사무소,국토교통부 원주지방국토관리청 홍천국토관리사무소,제한(총액),2020/05/15 14:01(2020/05/21 10:00),
용역,20200518600-00,일반,구리시 발달장애인평생교육센터 설치 및 리모델링 공사 건설폐기물처리 용역,경기도 구리시,경기도 구리시,수의(총액)소액수의,2020/05/15 14:01(2020/05/21 12:00),
용역,20200518606-00,일반,의정부시 음식물류폐기물 자원화시설 퇴비 운반 및 처리 용역,코오롱환경에너지 주식회사,코오롱환경에너지 주식회사,일반(단가),2020/05/15 14:00(2020/05/27 12:00),
용역,20200517950-00,긴급,국도46호선 춘천 서 안보지구 도로정비공사 폐기물처리용역,국토교통부 원주지방국토관리청 홍천국토관리사무소,국토교통부 원주지방국토관리청 홍천국토관리사무소,제한(총액),2020/05/15 14:00(2020/05/21 10:00),
용역,B5202001537-00,일반,군남댐 개인하수처리시설 위탁관리 용역(2020~21년),한국수자원공사,한국수자원공사 연천포천권지사,제한경쟁,2020/05/15 14:00(2020/05/25 10:00),
용역,B5202001547-00,일반,2020년 광주수도관리단 외부사업장 제초작업 용역,한국수자원공사,한국수자원공사 광주수도관리단,일반경쟁,2020/05/15 14:00(2020/05/25 14:00),
용역,20200518609-00,긴급,2020년 공공분야 드론 임무특화교육 커리큘럼 개발 및 고도화,한국교통안전공단,한국교통안전공단,일반(총액)협상에의한계약,2020/05/15 13:59(2020/05/26 12:00),
용역,20200517859-00,일반,아산북수초등학교 가상현실 스포츠실 설치 용역 의뢰,조달청 대전지방조달청,충청남도교육청 충청남도아산교육청 아산북수초등학교,제한(총액)협상에의한계약,2020/05/15 13:57(2020/05/26 10:00),
용역,20200518598-00,일반,청소.경비용역입찰,경인의료재활센터병원,경인의료재활센터병원,제한(총액),2020/05/15 13:57(2020/05/21 15:00),
용역,20200518593-00,긴급,공단 창립 20주년 기념식 행사대행,국민건강보험공단,국민건강보험공단,제한(총액)협상에의한계약,2020/05/15 13:56(2020/06/01 11:00),
용역,20200518589-00,긴급,사천(풍산지구)지방하천 정비사업 실시설계용역(PQ후 가격입찰),전라북도,전라북도,일반경쟁,2020/05/15 13:55(2020/05/21 12:00),
용역,20200517697-00,일반,경북문화관광콘텐츠 활용전시 전시 연출 및 도록 발간,재단법인 한국국학진흥원,재단법인 한국국학진흥원,일반(총액)협상에의한계약,2020/05/15 13:54(-),
용역,20200518357-01,변경,온실가스 감축기술 현행화 방안 조사 연구,환경부 온실가스종합정보센터,환경부 온실가스종합정보센터,제한(총액)협상에의한계약,2020/05/15 13:54(2020/05/26 10:00),
용역,20200467-01,변경,전력거래 무선계량시스템 HMI개발 인력지원,한전KDN(주),한전KDN(주),제한(총액)규격가격동시,2020/05/15 13:54(2020/05/25 15:00),
용역,20200518177-00,일반,대구경찰관기동대 청사 신축 설계용역,조달청,경찰청 대구광역시지방경찰청,수의(설계공모),2020/05/15 13:53(-),
용역,20200518243-00,일반,수체계시설 팔당관로 매설공사 감독권한대행 등 건설사업관리용역,조달청,경기도 김포시,"일반경쟁(용역,PQ)",2020/05/15 13:52(2020/06/05 10:00),
용역,20200518578-00,일반,가우도 서남해안 섬숲 생태복원사업 타당성평가 용역,전라남도 강진군,전라남도 강진군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 13:52(2020/05/21 10:00),
용역,20200517397-00,긴급,남해군 문화관광 홈페이지 전면개편 용역(협상에 의한 계약),조달청 경남지방조달청,경상남도 남해군,제한(총액)협상에의한계약,2020/05/15 13:52(2020/05/28 10:00),
용역,20200518573-00,일반,양산초외 1교(동산초) 본관동 내진보강 구조설계용역,경상남도교육청 경상남도양산교육지원청,경상남도교육청 경상남도양산교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 13:51(2020/05/21 10:30),
용역,20200517937-00,긴급,학익배수지(증설)건설공사 건설폐기물처리용역,인천광역시 상수도사업본부,인천광역시 상수도사업본부,제한(총액),2020/05/15 13:50(2020/05/21 10:00),
용역,20200516772-00,긴급,모바일포렌식 도구(MFA) 구조 및 기능 개선,조달청 서울지방조달청,대검찰청,제한(총액)협상에의한계약,2020/05/15 13:49(2020/05/29 10:00),
용역,20200504060-00,긴급,불법촬영물 추적시스템 고도화,조달청 서울지방조달청,경찰청,제한(총액)협상에의한계약,2020/05/15 13:48(2020/05/29 10:00),
용역,20200518572-00,일반,2020년 산림조합중앙회 임직원건강검진,산림조합중앙회,산림조합중앙회,제한(총액)협상에의한계약,2020/05/15 13:48(-),
용역,20200518571-00,일반,제4차 광역교통시행계획 수립 연구(2차년도)연구의 부산울산권 O/D분석 및 사업성분석,재단법인 부산연구원,재단법인 부산연구원,제한(총액)협상에의한계약,2020/05/15 13:47(2020/05/27 17:00),
용역,E012004420-00,일반,2020년 인제지사 배전선로 열화상 진단용역,한국전력공사,재무자재부,제한(총액),2020/05/15 13:47(2020/05/25 10:00),
용역,20200518537-00,일반,2020년 고양시마을단위 LPG소형저장탱크 보급사업 설계 및 검측감리용역(고봉4통마을),고양시LP가스협회,고양시LP가스협회,제한경쟁,2020/05/15 13:46(-),
용역,20200518528-00,긴급,기양천 지방하천 정비사업 실시설계용역(PQ후 가격입찰),전라북도,전라북도,일반경쟁,2020/05/15 13:46(2020/05/21 12:00),
용역,20200518558-00,일반,와흘리 제주다움복원사업 기본계획수립 및 지역역량강화용역,한국농어촌공사 제주지역본부,한국농어촌공사 제주지역본부,일반(총액)협상에의한계약,2020/05/15 13:46(2020/06/29 12:00),
용역,E012004433-00,일반,"㈜맥서브 12,500kW 예비 신규공사 감리용역",한국전력공사,재무자재부,제한(총액),2020/05/15 13:45(2020/05/25 10:00),
용역,20200517887-00,긴급,2020 이태원지구촌축제 위탁용역,사단법인 이태원관광특구연합회,사단법인 이태원관광특구연합회,일반(총액),2020/05/15 13:45(2020/05/22 10:40),
용역,20200518563-00,일반,화학바이오분야 상용표준물질개발 로드맵구축 사업,한국화학융합시험연구원,한국화학융합시험연구원,일반(총액)협상에의한계약,2020/05/15 13:45(-),
